county_fips_full,county_name,state,year,period,value,chg1,yoy,index_base100,freq,metric,source
01095,Marshall,AL,2024,2024-12-31,344.79,0.06696580535355112,0.06696580535355112,344.79,A,hpi,hpi_at_county.csv
01097,Mobile,AL,2024,2024-12-31,642.69,0.027712037866189032,0.027712037866189032,326.53693730311966,A,hpi,hpi_at_county.csv
01099,Monroe,AL,2024,2024-12-31,214.99,0.11950635284315769,0.11950635284315769,214.99,A,hpi,hpi_at_county.csv
01101,Montgomery,AL,2024,2024-12-31,351.0,0.04707356362985493,0.04707356362985493,188.26432096116713,A,hpi,hpi_at_county.csv
01103,Morgan,AL,2024,2024-12-31,549.78,0.04516938519447922,0.04516938519447922,289.9989450363962,A,hpi,hpi_at_county.csv
01107,Pickens,AL,2024,2024-12-31,198.97,0.03136014928467756,0.03136014928467756,198.97,A,hpi,hpi_at_county.csv
01109,Pike,AL,2024,2024-12-31,228.07,0.01789699187717564,0.01789699187717564,228.07,A,hpi,hpi_at_county.csv
01111,Randolph,AL,2024,2024-12-31,262.33,-0.1393937405682042,-0.1393937405682042,262.33,A,hpi,hpi_at_county.csv
01113,Russell,AL,2024,2024-12-31,334.84,0.13320698524434804,0.13320698524434804,301.7120201838169,A,hpi,hpi_at_county.csv
01115,Saint Clair,AL,2024,2024-12-31,514.4,0.06677727084197427,0.06677727084197427,355.91226734933923,A,hpi,hpi_at_county.csv
01117,Shelby,AL,2024,2024-12-31,584.02,0.022623008229732067,0.022623008229732067,294.5876418663304,A,hpi,hpi_at_county.csv
01121,Talladega,AL,2024,2024-12-31,320.93,0.033058649327238676,0.033058649327238676,301.59759421107043,A,hpi,hpi_at_county.csv
01123,Tallapoosa,AL,2024,2024-12-31,333.51,0.02615304144487851,0.02615304144487851,333.51,A,hpi,hpi_at_county.csv
01125,Tuscaloosa,AL,2024,2024-12-31,382.63,0.07761849776100482,0.07761849776100482,317.4298987887838,A,hpi,hpi_at_county.csv
01127,Walker,AL,2024,2024-12-31,321.24,0.03339123721289328,0.03339123721289328,295.8828405636917,A,hpi,hpi_at_county.csv
01129,Washington,AL,2024,2024-12-31,180.18,0.30916224660321157,0.30916224660321157,180.18,A,hpi,hpi_at_county.csv
01133,Winston,AL,2024,2024-12-31,308.91,0.07731743042477501,0.07731743042477501,308.91,A,hpi,hpi_at_county.csv
