GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C8J001,C8O001
"G0100210","1980","A","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,,"05",,,,,,,,"CHILTON COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1",27700,74
"G0100230","1980","A","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,,"07",,,,,,,,"CHOCTAW COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0",21400,51
"G0100250","1980","A","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,,"07",,,,,,,,"CLARKE COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",24500,70
"G0100270","1980","A","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,,"04",,,,,,,,"CLAY COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0",23000,75
"G0100290","1980","A","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,,"04",,,,,,,,"CLEBURNE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",25100,70
"G0100310","1980","A","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,,"09",,,,,,,,"COFFEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",33500,102
"G0100330","1980","A","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,,"01",,,,,,,,"COLBERT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",32700,112
"G0100350","1980","A","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,,"09",,,,,,,,"CONECUH COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",18600,56
"G0100370","1980","A","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,,"04",,,,,,,,"COOSA COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0",21000,63
"G0100390","1980","A","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,,"09",,,,,,,,"COVINGTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",22200,74
"G0100410","1980","A","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,,"09",,,,,,,,"CRENSHAW COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",18600,49
"G0100430","1980","A","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,,"02",,,,,,,,"CULLMAN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",31600,106
"G0100450","1980","A","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,,"09",,,,,,,,"DALE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",31900,140
"G0100470","1980","A","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,,"06",,,,,,,,"DALLAS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",29000,80
"G0100490","1980","A","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,,"02",,,,,,,,"DE KALB COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",26200,89
"G0100510","1980","A","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,,"05",,,,,,,,"ELMORE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",36100,84
"G0100530","1980","A","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,,"08",,,,,,,,"ESCAMBIA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",25500,81
